,title,url,address,latitude,longitude,price,info,description
0,"Virginia park, 4 br bungalow ",https://www.kijiji.ca/v-apartments-condos/st-johns/virginia-park-4-br-bungalow/1457981380,"10 Rutledge Crescent, St. John's, NL A1A 3J6, Canada",47.5990037,-52.6939325,"$1,000.00 ","Unit Type: House *** Bedrooms: 4 *** Bathrooms: 1.5 *** Parking Included: 2 *** Agreement Type: Month-to-month *** Move-In Date: September 5, 2019 *** Pet Friendly: Yes *** Utilities Included: Water *** Also Included: N/A *** Size (sqft): 1,600 *** Furnished: No *** Air Conditioning: No *** Smoking Permitted: Outdoors Only *** Appliances: Laundry (In Unit), Dishwasher, Fridge / Freezer *** Personal Outdoor Space: Yard, Balcony","Rutledge cream, 4 br bungalow (1 br downstairs). Large and bright - over 1600 sq ft. Garage. Deck and private backyard. Parquet hardwood floors throughout. Stone fireplace with electric insert. Half bathroom in master br. Separate dining room. Electric heat. Parking for 2 cars. Pet friendly. Ideal for a large family with kids - new east point elementary school 1 min walk. Available immediately, references required. $1000 pou - call Scott 749-6780 with questions or to arrange viewing. If it鈥檚 online, it鈥檚 available!"
1,"Executive, Single Family Home on Quiet Cul-De-Sac",https://www.kijiji.ca/v-apartments-condos/st-johns/executive-single-family-home-on-quiet-cul-de-sac/1457966835,"21 Ashbourne Drive, St. John's, NL, A1G 1T6",47.5220399,-52.741946,"$2,000.00 ","Unit Type: House *** Bedrooms: 3 *** Bathrooms: 2.5 *** Parking Included: 3+ *** Agreement Type: 1 Year *** Move-In Date: September 1, 2019 *** Pet Friendly: No *** Utilities Included: N/A *** Also Included: N/A *** Furnished: No *** Air Conditioning: No *** Smoking Permitted: No *** Appliances: Laundry (In Unit), Dishwasher, Fridge / Freezer, Microwave *** Personal Outdoor Space: Yard, Balcony","21 Ashbourne Drive is a pristine, family home located on a beautifully manicured lot within an executive cul-de-sac near Downtown, St. John's. This boasts large living areas with vaulted ceilings, walk-in closets and a two vehicle in-house garage. Inside on the main floor you'll find a spacious great room, dining room with access to the large patio deck, beautiful kitchen, main floor den with balcony, powder room and main floor laundry with washer and dryer included. Located on the second floor you'll find a full bathroom, three bedrooms with the master having vaulted ceilings, a full en-suite and walk-in closet, Jacuzzi tub and stand-up shower. The additional two bedrooms are spacious as well with amble closet space. Downstairs is the two bay, in-house garage as well as lots of room for storage. $2000 POUIdeal For Growing FamilyHardwood FloorsNo PetsNo SmokingAvailable ImmediatelyContact The Firm Property Management Solutions Inc to arrange your private viewing. Call (709)693-1997 or email Leasing@TheFirmPM.com www.TheFirmPM.com ""We Do Things Differently Because We Have You In Mind!"""
2,74 Faulkner St.- Fantastic 4 BR 3.5 bath Home Close to MUN,https://www.kijiji.ca/v-apartments-condos/st-johns/74-faulkner-st-fantastic-4-br-3-5-bath-home-close-to-mun/1457966787,"74 Faulkner Street, St. John's, NL, A1B 5E3",47.5667107,-52.7706283,"$1,400.00 ","Unit Type: House *** Bedrooms: 4 *** Bathrooms: 3.5 *** Parking Included: 3+ *** Agreement Type: 1 Year *** Pet Friendly: No *** Utilities Included: N/A *** Also Included: N/A *** Furnished: No *** Air Conditioning: No *** Smoking Permitted: No *** Appliances: Laundry (In Unit), Dishwasher, Fridge / Freezer, Microwave *** Personal Outdoor Space: N/A","74 Faulkner St.- Fantastic 4 BR 3.5 bath Home Close to MUNVery Spacious, Parking for 3NOTE: Home can come partly furnished or furniture can be removed. Very Spacious 4 bedroom 3.5 bath located in close approximate to MUN and Avalon Mall.  New high quality laminate throughout main level   Eat in kitchen equipped with F/S dishwasher & built-in microwave  Deck off kitchen great for evening BBQing  Spacious living room with fresh paint.   Laundry on main level with washer/dryer included  Upstairs has 3 good size bedrooms  Master bedroom has ensuite and walk in closet  Lower level of home has large rec room with exterior door for enter and exit.  4th bedroom and another bathroom on lower level   Extra storage in home   Parking or 3  Air exchanger  Electric Heat  On bus route  AVAILABLE OCTOBER 1, 2019$1400 POU"
3,Cowan Heights Two Story Professional's Family Home.,https://www.kijiji.ca/v-house-for-sale/st-johns/cowan-heights-two-story-professionals-family-home/1429914855,"35 Creston Pl, St. John's, NL A1E 5W2, Canada",47.535625,-52.764688,"$399,900.00 ","Bedrooms: 4 *** Bathrooms: 3 *** Size (sqft): 3,942","Great Home! Reduced by $50,000.00 You Must SEE! This is a wonderful and spacious home with a large eat in kitchen, formal living and dining room, a circular staircase with two large skylights. Hardwood floors on the main, and some on the second floor, hardwood stairs. There is plenty of room for development in the basement if you want a walk out basement for an inlaw apartment or recroom. There have been many upgrades.. a new heat pump installed in 2007, new shingles and sky light in 2013, upgrades to kitchen counter tops in 2013, upgrades to the appliances, new exterior doors 2017, garage door in 2017, new deck 2018, new french doors 2017 and many more upgrades. There is a large jacuzzi tub in the ensuite, walk in closet, four large bedrooms, evening sun in the back and on the deck, situated in a very stable neighborhood near schools and shopping, only minutes to the Gushue extension and 10 minutes to downtown. The air filtration is top of the line ideal for asthma and allergy sufferers and those wanting clean, dust-free air. MLS 1191524"
4,Wanted: ISO Pet friendly rental for couple from BC.,https://www.kijiji.ca/v-short-term-rental/st-johns/iso-pet-friendly-rental-for-couple-from-bc/1457966837,", A0A 1C0, St Johns, NL",47.3786893,-52.9206792,Please Contact,Bedrooms: 1 *** Bathrooms: 1 *** Furnished: Yes *** Pet Friendly: Yes,"Hello, we are 2 mature, hard working individuals in our late 30s looking for a short term, possibly long, for Nov 1st 2019. We currently work in the Yukon, and rent our house in BC out. We are hoping to spend the winter in Newfoundland, anywhere is fine. We have a well trained newfy/bernese as well. Hoping to find something furnished as we are flying in, but will take unfurnished as well. Hoping to pay no more than $1000 all inclusive. Thanks!"
5,2 BEDROOM HOUSE ON FRESHWATER RD. - Move In Ready,https://www.kijiji.ca/v-apartments-condos/st-johns/2-bedroom-house-on-freshwater-rd-move-in-ready/1457934095,", St. John's A1C 2N4 NL, Canada",47.563379,-52.7204823,$995.00 ,"Unit Type: House *** Bedrooms: 2 *** Bathrooms: 1 *** Parking Included: 0 *** Agreement Type: 1 Year *** Move-In Date: September 6, 2019 *** Pet Friendly: Limited *** Utilities Included: Water *** Also Included: N/A *** Size (sqft): 1,000 *** Furnished: No *** Air Conditioning: No *** Smoking Permitted: Outdoors Only *** Appliances: Laundry (In Unit), Dishwasher, Fridge / Freezer *** Personal Outdoor Space: Balcony","Freshly painted 2 storey, 2 bedroom house on Freshwater Road, just minutes to downtown and MUN. Eat in kitchen with fridge, stove and dishwasher. Washer & dryer provided. Deck on back of house. Storage area. On street parking. Parking permit is not required. Small pets may be considered. No Smoking. References and Lease required. 995.00 POU."
6,Heat pump included! Cul-de-sac living,https://www.kijiji.ca/v-house-for-sale/st-johns/heat-pump-included-cul-de-sac-living/1398055273,"Ploughman Place, Conception Bay South, NL A1W, Canada",47.5144022,-52.9572484,"$411,900.00 ","Bedrooms: 3 *** Bathrooms: 2.5 *** Size (sqft): 2,509","Welcome to Walker Grove! Walker Grove offers its residents a park like setting in the heart of Conception Bay South. The Northwest plan, like all our homes, has an organic look and feel. Boasting an open concept main floor with large living space, eating area and island, this home includes a heat pump. The large second floor has laundry and three bedrooms. The master has a large walkin closet and a huge ensuite which includes a soaker tub and stand up shower, this is a over sized lot with total depth being 159鈥? Enjoy the quiet neighbourhood feel,being on the end of a cul-de-sac while being in the centre of CBS. WALKER GROVE 鈥?LIVE WHERE YOU LOVE! MLS 1202406 Ask about our special pricing on our Sun Space sunrooms.www.walkergrove.ca - Don't forget to check out our Facebook page for all the photos! (Walker Grove Subdivision) www.corecontracting.ca**Turn in Anchorage rd, take left on Pocket rd follow road along until you reach Hickory place go to bottom to see Walker Grove. **Future road will connect directly to Pocket rd.Call today to book your viewing Holly Walker 709-689-2210 Tyrone Buckle 709-693-2385"
7,9 Trenton Drive,https://www.kijiji.ca/v-apartments-condos/st-johns/9-trenton-drive/1457963640,"9 Trenton Drive, Paradise, NL, A1L 2H6",47.5248979,-52.8917792,"$1,300.00 ",Unit Type: Apartment *** Bedrooms: 3 *** Bathrooms: 2 *** Parking Included: 2 *** Agreement Type: 1 Year *** Pet Friendly: No *** Furnished: No *** Smoking Permitted: No,"Krown Property Management9 Trenton Drive, Paradise Available October 1stStunning Main Floor House for rent in less than 2 year old Home with large Rec room/Family Room DownstairsStainless Steel Fridge, Stove, Dishwasher, Over the Range Microwave, Washer & Dryer includedParking for 2 CarsElectric HeatLarge Master Bedroom has Walk in Closet and EnsuiteMain Floor LaundryLease RequiredNo PetsNo Smoking$1,300.00 POUContact leasing@kpigroup.ca or call 709-738-4695 to set up a viewing!! "
8,"35 Indian Pond Estates - Delightful 3 BR, 2 bath Single Home",https://www.kijiji.ca/v-apartments-condos/st-johns/35-indian-pond-estates-delightful-3-br-2-bath-single-home/1457896265,"35 Indian Pond Rd., CBS, NL, A1X 6P6",47.443109,-53.083191,"$1,250.00 ","Unit Type: House *** Bedrooms: 3 *** Bathrooms: 2 *** Parking Included: 1 *** Agreement Type: 1 Year *** Pet Friendly: No *** Utilities Included: N/A *** Also Included: N/A *** Furnished: No *** Air Conditioning: No *** Smoking Permitted: No *** Appliances: Dishwasher, Fridge / Freezer *** Personal Outdoor Space: N/A","35 Indian Pond Estates - Delightful 3 bedroom, 2 bath Single Family Home in CBSCozy and inviting !Single Family PropertyVery Private, Tree Lined LotWood Floors ThroughoutLarge Bright Living RoomDining Area with Sliding Glass Patio Doors Leading Onto Lovely TerraceUpdated Kitchen with New Fridge and New StoveThree Large Bedrooms UpstairsMaster Bedroom Leads Onto Private Deck2 Recently Upated BathroomsLarge Rec Room on Lower LevelStorage Area Under StairsLarge Mudroom includes Storage and Washer Dryer Hook UpNo Pets, No Smoking, Lease and Security Deposit RequiredAVAILABLE IMMEDIATELY$1250 POUPromotional Packages Offered on Cable, Internet and Phone ServicesCall now for your viewing! 709-763-5383"
9,2 apartment house  in Kenmount Terrace,https://www.kijiji.ca/v-house-for-sale/st-johns/2-apartment-house-in-kenmount-terrace/1439737361,", St. John鈥檚 A1B0J4 NL, Canada",47.5533386,-52.7947353,"$358,900.00 ","Bedrooms: 3 *** Bathrooms: 2 *** Size (sqft): 1,250","Two apartment house located at 37 Georgina Street with three bedroom, 2 bathroom house plus rec room with 1 bedroom above-ground apartment( rented for $825.00)in Kenmount Terrace. Parking for up to 4 vehicles. Right next to bus route. All appliances including washer and dryer upstairs and downstairs. Excellent time to buy with current interest rates."
